147  O        C2                CO       C                  1.00E-11    0.00       0.0
148  O        C2                CO       C                  6.00E-10    0.00       0.0
149  O        C2H               CO       CH                 1.70E-11    0.00       0.0
150  O        CN                NO       C                  3.81E-11    0.50   14545.0
151  O        CN                CO       N                  4.36E-11    0.46     364.0
152  O        C2H2              C2H      OH                 5.30E-09    0.00    8520.0
153  O        C2H2              CO       CH2                8.39E-12    1.03    1197.0
154  O        HCN               CN       OH                 6.21E-10    0.00   12439.0
155  O        HCN               CO       NH                 7.30E-13    1.14    3742.0
156  O        N2                NO       N                  2.51E-10    0.00   38602.0
157  O        HCO               CO       OH                 5.00E-11    0.00       0.0
158  O        NO                O2       N                  1.18E-11    0.00   20413.0
159  O        H2CO              CO       OH       H         1.00E-10    0.00       0.0
160  O        H2CO              HCO      OH                 1.07E-11    1.17    1242.0
161  O        HNO               NO       OH                 6.00E-11    0.00       0.0
162  O        HNO               O2       NH                 2.94E-12    0.50    3500.0
163  NH2      CH4               CH3      NH3                2.90E-13    2.87    5380.0
164  NH2      OH                NH3      O                  2.08E-13    0.76     262.0
165  NH2      OH                H2O      NH                 7.78E-13    1.50    -230.0
166  NH2      NO                N2       OH       H         1.49E-12    0.00       0.0
167  NH2      NO                N2       H2O                4.27E-11   -2.50     331.0
168  CH4      OH                H2O      CH3                3.77E-13    2.42    1162.0
169  CH4      CN                HCN      CH3                3.14E-12    1.53     504.0
170  OH       OH                H2O      O                  1.65E-12    1.14      50.0
171  OH       NH3               H2O      NH2                1.47E-13    2.05       7.0
172  OH       CN                HCN      O                  1.00E-11    0.00    1000.0
173  OH       C2H2              CO       CH3                6.51E-18    4.00   -1006.0
174  OH       C2H2              C2H      H2O                1.05E-13    2.68    6060.0
175  OH       HCN               CN       H2O                1.87E-13    1.50    3887.0
176  OH       HCN               CO       NH2                1.07E-13    0.00    5892.0
177  OH       C2H3              C2H2     H2O                5.00E-11    0.00       0.0
178  OH       HCO               CO       H2O                1.70E-10    0.00       0.0
179  OH       H2CO              HCO      H2O                2.22E-12    1.42    -416.0
180  OH       HNO               NO       H2O                4.44E-12    1.37    -169.0
181  NH3      CN                HCN      NH2                3.41E-11   -0.90      -9.9
182  C2       O2                CO       CO                 1.50E-11    0.00    4300.0
183  C2H      O2                HCO      CO                 4.00E-12    0.00       0.0
184  CN       CN                N2       C2                 2.66E-09    0.00   21638.0
185  CN       HCO               CO       HCN                1.00E-10    0.00       0.0
186  CN       NO                N2       CO                 1.60E-13    0.00       0.0
187  CN       H2CO              HCO      HCN                2.60E-10   -0.47     826.0
188  CN       HNO               NO       HCN                3.00E-11    0.00       0.0
189  CN       O2                NO       CO                 5.01E-12   -0.46      -8.0
190  C2H2     NO                HCN      CO       H         8.97E-12    0.00   18973.0
191  C2H3     O2                H2CO     HCO                4.62E-12    0.00     171.0
192  HCO      HCO               CO       CO       H2        3.63E-11    0.00       0.0
193  HCO      HCO               H2CO     CO                 3.00E-11    0.00       0.0
194  HCO      NO                HNO      CO                 1.20E-11    0.00       0.0
195  HCO      HNO               H2CO     NO                 1.00E-12    0.00    1000.0
196  NO       NO                O2       N2                 2.51E-11    0.00   30653.0
197  H        CH+               C+       H2                 7.50E-10    0.00       0.0
198  H+       CH2               CH+      H2                 1.40E-09    0.00       0.0
199  H        CH2+              CH+      H2                 1.00E-09    0.00    7080.0
200  H        CH3+              CH2+     H2                 7.00E-10    0.00   10560.0
201  H+       CH4               CH3+     H2                 2.30E-09    0.00       0.0
202  H        CH4+              CH3+     H2                 1.00E-11    0.00       0.0
203  H        CH5+              CH4+     H2                 1.50E-10    0.00       0.0
204  H+       C2H               C2+      H2                 1.50E-09    0.00       0.0
205  H+       C2H3              C2H2+    H2                 2.00E-09    0.00       0.0
206  H        C2H3+             C2H2+    H2                 6.80E-11    0.00       0.0
207  H        C2H4+             C2H3+    H2                 3.00E-10    0.00       0.0
208  H+       HCO               CO+      H2                 9.40E-10    0.00       0.0
209  H+       HCO               CO       H2+                9.40E-10    0.00       0.0
210  H+       H2CO              CO+      H2       H         1.06E-09    0.00       0.0
211  H+       H2CO              HCO+     H2                 3.57E-09    0.00       0.0
212  H+       HNO               NO+      H2                 4.00E-09    0.00       0.0
213  H2+      H2                H3+      H                  2.08E-09    0.00       0.0
214  H2       He+               He       H+       H         3.70E-14    0.00      35.0
215  H2+      C                 CH+      H                  2.40E-09    0.00       0.0
216  H2       C+                CH+      H                  1.00E-10    0.00    4640.0
217  H2+      CH                CH2+     H                  7.10E-10    0.00       0.0
218  H2       CH+               CH2+     H                  1.20E-09    0.00       0.0
219  H2+      N                 NH+      H                  1.90E-09    0.00       0.0
220  H2       N+                NH+      H                  1.00E-09    0.00      85.0
221  H2+      CH2               CH3+     H                  1.00E-09    0.00       0.0
222  H2       CH2+              CH3+     H                  1.60E-09    0.00       0.0
223  H2       NH+               N        H3+                2.25E-10    0.00       0.0
224  H2+      NH                NH2+     H                  7.60E-10    0.00       0.0
225  H2       NH+               NH2+     H                  1.28E-09    0.00       0.0
226  H2+      O                 OH+      H                  1.50E-09    0.00       0.0
227  H2       O+                OH+      H                  1.70E-09    0.00       0.0
228  H2       NH2+              NH3+     H                  2.70E-10    0.00       0.0
